name,full_name,base,base_name,second,second_name
NZD/NPR,NZD/NPR - New Zealand Dollar Nepalese Rupee,NZD,New Zealand Dollar,NPR,Nepalese Rupee
PHP/NPR,PHP/NPR - Philippine Peso Nepalese Rupee,PHP,Philippine Peso,NPR,Nepalese Rupee
PKR/NPR,PKR/NPR - Pakistani Rupee Nepalese Rupee,PKR,Pakistani Rupee,NPR,Nepalese Rupee
PLN/NPR,PLN/NPR - Polish Zloty Nepalese Rupee,PLN,Polish Zloty,NPR,Nepalese Rupee
RUB/NPR,RUB/NPR - Russian Ruble Nepalese Rupee,RUB,Russian Ruble,NPR,Nepalese Rupee
SAR/NPR,SAR/NPR - Saudi Riyal Nepalese Rupee,SAR,Saudi Riyal,NPR,Nepalese Rupee
SEK/NPR,SEK/NPR - Swedish Krona Nepalese Rupee,SEK,Swedish Krona,NPR,Nepalese Rupee
SGD/NPR,SGD/NPR - Singapore Dollar Nepalese Rupee,SGD,Singapore Dollar,NPR,Nepalese Rupee
THB/NPR,THB/NPR - Thai Baht Nepalese Rupee,THB,Thai Baht,NPR,Nepalese Rupee
TRY/NPR,TRY/NPR - Turkish Lira Nepalese Rupee,TRY,Turkish Lira,NPR,Nepalese Rupee
TWD/NPR,TWD/NPR - Taiwan Dollar Nepalese Rupee,TWD,Taiwan Dollar,NPR,Nepalese Rupee
VES/NPR,VES/NPR - Venezuelan Bolivar Nepalese Rupee,VES,Venezuelan Bolivar,NPR,Nepalese Rupee
ZAR/NPR,ZAR/NPR - South African Rand Nepalese Rupee,ZAR,South African Rand,NPR,Nepalese Rupee
NZD/USD,NZD/USD - New Zealand Dollar US Dollar,NZD,New Zealand Dollar,USD,US Dollar
NZD/PLN,NZD/PLN - New Zealand Dollar Polish Zloty,NZD,New Zealand Dollar,PLN,Polish Zloty
NZD/SEK,NZD/SEK - New Zealand Dollar Swedish Krona,NZD,New Zealand Dollar,SEK,Swedish Krona
NZD/THB,NZD/THB - New Zealand Dollar Thai Baht,NZD,New Zealand Dollar,THB,Thai Baht
NZD/ZAR,NZD/ZAR - New Zealand Dollar South African Rand,NZD,New Zealand Dollar,ZAR,South African Rand
NZD/SGD,NZD/SGD - New Zealand Dollar Singapore Dollar,NZD,New Zealand Dollar,SGD,Singapore Dollar
NZD/PKR,NZD/PKR - New Zealand Dollar Pakistani Rupee,NZD,New Zealand Dollar,PKR,Pakistani Rupee
NZD/TWD,NZD/TWD - New Zealand Dollar Taiwan Dollar,NZD,New Zealand Dollar,TWD,Taiwan Dollar
SGD/NZD,SGD/NZD - Singapore Dollar New Zealand Dollar,SGD,Singapore Dollar,NZD,New Zealand Dollar
USD/NZD,USD/NZD - US Dollar New Zealand Dollar,USD,US Dollar,NZD,New Zealand Dollar
NZD/OMR,NZD/OMR - New Zealand Dollar Omani Rial,NZD,New Zealand Dollar,OMR,Omani Rial
NZD/PAB,NZD/PAB - New Zealand Dollar Panamanian Balboa,NZD,New Zealand Dollar,PAB,Panamanian Balboa
NZD/PHP,NZD/PHP - New Zealand Dollar Philippine Peso,NZD,New Zealand Dollar,PHP,Philippine Peso
NZD/QAR,NZD/QAR - New Zealand Dollar Qatari Riyal,NZD,New Zealand Dollar,QAR,Qatari Riyal
NZD/RON,NZD/RON - New Zealand Dollar Romanian Leu,NZD,New Zealand Dollar,RON,Romanian Leu
NZD/RUB,NZD/RUB - New Zealand Dollar Russian Ruble,NZD,New Zealand Dollar,RUB,Russian Ruble
NZD/SAR,NZD/SAR - New Zealand Dollar Saudi Riyal,NZD,New Zealand Dollar,SAR,Saudi Riyal
NZD/TRY,NZD/TRY - New Zealand Dollar Turkish Lira,NZD,New Zealand Dollar,TRY,Turkish Lira
NZD/VES,NZD/VES - New Zealand Dollar Venezuelan Bolivar,NZD,New Zealand Dollar,VES,Venezuelan Bolivar
NZD/XAF,NZD/XAF - New Zealand Dollar Central African Franc,NZD,New Zealand Dollar,XAF,Central African Franc
NZD/XCD,NZD/XCD - New Zealand Dollar East Caribbean Dollar,NZD,New Zealand Dollar,XCD,East Caribbean Dollar
NZD/XOF,NZD/XOF - New Zealand Dollar West African CFA franc,NZD,New Zealand Dollar,XOF,West African CFA franc
PLN/NZD,PLN/NZD - Polish Zloty New Zealand Dollar,PLN,Polish Zloty,NZD,New Zealand Dollar
SAR/NZD,SAR/NZD - Saudi Riyal New Zealand Dollar,SAR,Saudi Riyal,NZD,New Zealand Dollar
SEK/NZD,SEK/NZD - Swedish Krona New Zealand Dollar,SEK,Swedish Krona,NZD,New Zealand Dollar
TRY/NZD,TRY/NZD - Turkish Lira New Zealand Dollar,TRY,Turkish Lira,NZD,New Zealand Dollar
TWD/NZD,TWD/NZD - Taiwan Dollar New Zealand Dollar,TWD,Taiwan Dollar,NZD,New Zealand Dollar
VES/NZD,VES/NZD - Venezuelan Bolivar New Zealand Dollar,VES,Venezuelan Bolivar,NZD,New Zealand Dollar
ZAR/NZD,ZAR/NZD - South African Rand New Zealand Dollar,ZAR,South African Rand,NZD,New Zealand Dollar
OMR/PKR,OMR/PKR - Omani Rial Pakistani Rupee,OMR,Omani Rial,PKR,Pakistani Rupee
USD/OMR,USD/OMR - US Dollar Omani Rial,USD,US Dollar,OMR,Omani Rial
PLN/OMR,PLN/OMR - Polish Zloty Omani Rial,PLN,Polish Zloty,OMR,Omani Rial
SAR/OMR,SAR/OMR - Saudi Riyal Omani Rial,SAR,Saudi Riyal,OMR,Omani Rial
SEK/OMR,SEK/OMR - Swedish Krona Omani Rial,SEK,Swedish Krona,OMR,Omani Rial
SGD/OMR,SGD/OMR - Singapore Dollar Omani Rial,SGD,Singapore Dollar,OMR,Omani Rial
TRY/OMR,TRY/OMR - Turkish Lira Omani Rial,TRY,Turkish Lira,OMR,Omani Rial
TWD/OMR,TWD/OMR - Taiwan Dollar Omani Rial,TWD,Taiwan Dollar,OMR,Omani Rial
VES/OMR,VES/OMR - Venezuelan Bolivar Omani Rial,VES,Venezuelan Bolivar,OMR,Omani Rial
ZAR/OMR,ZAR/OMR - South African Rand Omani Rial,ZAR,South African Rand,OMR,Omani Rial
USD/PAB,USD/PAB - US Dollar Panamanian Balboa,USD,US Dollar,PAB,Panamanian Balboa
PLN/PAB,PLN/PAB - Polish Zloty Panamanian Balboa,PLN,Polish Zloty,PAB,Panamanian Balboa
SAR/PAB,SAR/PAB - Saudi Riyal Panamanian Balboa,SAR,Saudi Riyal,PAB,Panamanian Balboa
SEK/PAB,SEK/PAB - Swedish Krona Panamanian Balboa,SEK,Swedish Krona,PAB,Panamanian Balboa
SGD/PAB,SGD/PAB - Singapore Dollar Panamanian Balboa,SGD,Singapore Dollar,PAB,Panamanian Balboa
TRY/PAB,TRY/PAB - Turkish Lira Panamanian Balboa,TRY,Turkish Lira,PAB,Panamanian Balboa
TWD/PAB,TWD/PAB - Taiwan Dollar Panamanian Balboa,TWD,Taiwan Dollar,PAB,Panamanian Balboa
VES/PAB,VES/PAB - Venezuelan Bolivar Panamanian Balboa,VES,Venezuelan Bolivar,PAB,Panamanian Balboa
ZAR/PAB,ZAR/PAB - South African Rand Panamanian Balboa,ZAR,South African Rand,PAB,Panamanian Balboa
USD/PEN,USD/PEN - US Dollar Peru Sol,USD,US Dollar,PEN,Peru Sol
PYG/PEN,PYG/PEN - Paraguayan Guarani Peru Sol,PYG,Paraguayan Guarani,PEN,Peru Sol
PEN/PYG,PEN/PYG - Peru Sol Paraguayan Guarani,PEN,Peru Sol,PYG,Paraguayan Guarani
UYU/PEN,UYU/PEN - Uruguayan Peso Peru Sol,UYU,Uruguayan Peso,PEN,Peru Sol
PEN/UYU,PEN/UYU - Peru Sol Uruguayan Peso,PEN,Peru Sol,UYU,Uruguayan Peso
VES/PEN,VES/PEN - Venezuelan Bolivar Peru Sol,VES,Venezuelan Bolivar,PEN,Peru Sol
PEN/VES,PEN/VES - Peru Sol Venezuelan Bolivar,PEN,Peru Sol,VES,Venezuelan Bolivar
PEN/USD,PEN/USD - Peru Sol US Dollar,PEN,Peru Sol,USD,US Dollar
USD/PGK,USD/PGK - US Dollar Papua New Guinean Kina,USD,US Dollar,PGK,Papua New Guinean Kina
USD/PHP,USD/PHP - US Dollar Philippine Peso,USD,US Dollar,PHP,Philippine Peso
ZAR/PHP,ZAR/PHP - South African Rand Philippine Peso,ZAR,South African Rand,PHP,Philippine Peso
PHP/PKR,PHP/PKR - Philippine Peso Pakistani Rupee,PHP,Philippine Peso,PKR,Pakistani Rupee
PHP/RUB,PHP/RUB - Philippine Peso Russian Ruble,PHP,Philippine Peso,RUB,Russian Ruble
PHP/SEK,PHP/SEK - Philippine Peso Swedish Krona,PHP,Philippine Peso,SEK,Swedish Krona
PHP/THB,PHP/THB - Philippine Peso Thai Baht,PHP,Philippine Peso,THB,Thai Baht
PHP/TRY,PHP/TRY - Philippine Peso Turkish Lira,PHP,Philippine Peso,TRY,Turkish Lira
PHP/XAF,PHP/XAF - Philippine Peso Central African Franc,PHP,Philippine Peso,XAF,Central African Franc
PHP/XOF,PHP/XOF - Philippine Peso West African CFA franc,PHP,Philippine Peso,XOF,West African CFA franc
PHP/ZAR,PHP/ZAR - Philippine Peso South African Rand,PHP,Philippine Peso,ZAR,South African Rand
PKR/PHP,PKR/PHP - Pakistani Rupee Philippine Peso,PKR,Pakistani Rupee,PHP,Philippine Peso
PLN/PHP,PLN/PHP - Polish Zloty Philippine Peso,PLN,Polish Zloty,PHP,Philippine Peso
RUB/PHP,RUB/PHP - Russian Ruble Philippine Peso,RUB,Russian Ruble,PHP,Philippine Peso
SAR/PHP,SAR/PHP - Saudi Riyal Philippine Peso,SAR,Saudi Riyal,PHP,Philippine Peso
SEK/PHP,SEK/PHP - Swedish Krona Philippine Peso,SEK,Swedish Krona,PHP,Philippine Peso
SGD/PHP,SGD/PHP - Singapore Dollar Philippine Peso,SGD,Singapore Dollar,PHP,Philippine Peso
THB/PHP,THB/PHP - Thai Baht Philippine Peso,THB,Thai Baht,PHP,Philippine Peso
TRY/PHP,TRY/PHP - Turkish Lira Philippine Peso,TRY,Turkish Lira,PHP,Philippine Peso
TWD/PHP,TWD/PHP - Taiwan Dollar Philippine Peso,TWD,Taiwan Dollar,PHP,Philippine Peso
VES/PHP,VES/PHP - Venezuelan Bolivar Philippine Peso,VES,Venezuelan Bolivar,PHP,Philippine Peso
PHP/USD,PHP/USD - Philippine Peso US Dollar,PHP,Philippine Peso,USD,US Dollar
QAR/PHP,QAR/PHP - Qatari Riyal Philippine Peso,QAR,Qatari Riyal,PHP,Philippine Peso
QAR/PKR,QAR/PKR - Qatari Riyal Pakistani Rupee,QAR,Qatari Riyal,PKR,Pakistani Rupee
SAR/PKR,SAR/PKR - Saudi Riyal Pakistani Rupee,SAR,Saudi Riyal,PKR,Pakistani Rupee
SGD/PKR,SGD/PKR - Singapore Dollar Pakistani Rupee,SGD,Singapore Dollar,PKR,Pakistani Rupee
THB/PKR,THB/PKR - Thai Baht Pakistani Rupee,THB,Thai Baht,PKR,Pakistani Rupee
TWD/PKR,TWD/PKR - Taiwan Dollar Pakistani Rupee,TWD,Taiwan Dollar,PKR,Pakistani Rupee
USD/PKR,USD/PKR - US Dollar Pakistani Rupee,USD,US Dollar,PKR,Pakistani Rupee
ZAR/PKR,ZAR/PKR - South African Rand Pakistani Rupee,ZAR,South African Rand,PKR,Pakistani Rupee
PKR/RUB,PKR/RUB - Pakistani Rupee Russian Ruble,PKR,Pakistani Rupee,RUB,Russian Ruble
PKR/THB,PKR/THB - Pakistani Rupee Thai Baht,PKR,Pakistani Rupee,THB,Thai Baht
PKR/XAF,PKR/XAF - Pakistani Rupee Central African Franc,PKR,Pakistani Rupee,XAF,Central African Franc
PKR/XOF,PKR/XOF - Pakistani Rupee West African CFA franc,PKR,Pakistani Rupee,XOF,West African CFA franc
PLN/PKR,PLN/PKR - Polish Zloty Pakistani Rupee,PLN,Polish Zloty,PKR,Pakistani Rupee
RUB/PKR,RUB/PKR - Russian Ruble Pakistani Rupee,RUB,Russian Ruble,PKR,Pakistani Rupee
SEK/PKR,SEK/PKR - Swedish Krona Pakistani Rupee,SEK,Swedish Krona,PKR,Pakistani Rupee
TRY/PKR,TRY/PKR - Turkish Lira Pakistani Rupee,TRY,Turkish Lira,PKR,Pakistani Rupee
VES/PKR,VES/PKR - Venezuelan Bolivar Pakistani Rupee,VES,Venezuelan Bolivar,PKR,Pakistani Rupee
USD/PLN,USD/PLN - US Dollar Polish Zloty,USD,US Dollar,PLN,Polish Zloty
SEK/PLN,SEK/PLN - Swedish Krona Polish Zloty,SEK,Swedish Krona,PLN,Polish Zloty
SGD/PLN,SGD/PLN - Singapore Dollar Polish Zloty,SGD,Singapore Dollar,PLN,Polish Zloty
PLN/QAR,PLN/QAR - Polish Zloty Qatari Riyal,PLN,Polish Zloty,QAR,Qatari Riyal
PLN/RON,PLN/RON - Polish Zloty Romanian Leu,PLN,Polish Zloty,RON,Romanian Leu
PLN/RUB,PLN/RUB - Polish Zloty Russian Ruble,PLN,Polish Zloty,RUB,Russian Ruble
PLN/SAR,PLN/SAR - Polish Zloty Saudi Riyal,PLN,Polish Zloty,SAR,Saudi Riyal
PLN/SEK,PLN/SEK - Polish Zloty Swedish Krona,PLN,Polish Zloty,SEK,Swedish Krona
PLN/SGD,PLN/SGD - Polish Zloty Singapore Dollar,PLN,Polish Zloty,SGD,Singapore Dollar
PLN/THB,PLN/THB - Polish Zloty Thai Baht,PLN,Polish Zloty,THB,Thai Baht
PLN/TRY,PLN/TRY - Polish Zloty Turkish Lira,PLN,Polish Zloty,TRY,Turkish Lira
PLN/TWD,PLN/TWD - Polish Zloty Taiwan Dollar,PLN,Polish Zloty,TWD,Taiwan Dollar
PLN/USD,PLN/USD - Polish Zloty US Dollar,PLN,Polish Zloty,USD,US Dollar
PLN/VES,PLN/VES - Polish Zloty Venezuelan Bolivar,PLN,Polish Zloty,VES,Venezuelan Bolivar
PLN/XAF,PLN/XAF - Polish Zloty Central African Franc,PLN,Polish Zloty,XAF,Central African Franc
PLN/XCD,PLN/XCD - Polish Zloty East Caribbean Dollar,PLN,Polish Zloty,XCD,East Caribbean Dollar
PLN/XOF,PLN/XOF - Polish Zloty West African CFA franc,PLN,Polish Zloty,XOF,West African CFA franc
PLN/ZAR,PLN/ZAR - Polish Zloty South African Rand,PLN,Polish Zloty,ZAR,South African Rand
RUB/PLN,RUB/PLN - Russian Ruble Polish Zloty,RUB,Russian Ruble,PLN,Polish Zloty
SAR/PLN,SAR/PLN - Saudi Riyal Polish Zloty,SAR,Saudi Riyal,PLN,Polish Zloty
TRY/PLN,TRY/PLN - Turkish Lira Polish Zloty,TRY,Turkish Lira,PLN,Polish Zloty
TWD/PLN,TWD/PLN - Taiwan Dollar Polish Zloty,TWD,Taiwan Dollar,PLN,Polish Zloty
VES/PLN,VES/PLN - Venezuelan Bolivar Polish Zloty,VES,Venezuelan Bolivar,PLN,Polish Zloty
ZAR/PLN,ZAR/PLN - South African Rand Polish Zloty,ZAR,South African Rand,PLN,Polish Zloty
UAH/PLN,UAH/PLN - Ukrainian Hryvnia Polish Zloty,UAH,Ukrainian Hryvnia,PLN,Polish Zloty
PLN/UAH,PLN/UAH - Polish Zloty Ukrainian Hryvnia,PLN,Polish Zloty,UAH,Ukrainian Hryvnia
PLN/RUB,PLN/RUB - Polish Zloty Russian Ruble,PLN,Polish Zloty,RUB,Russian Ruble
USD/PYG,USD/PYG - US Dollar Paraguayan Guarani,USD,US Dollar,PYG,Paraguayan Guarani
PYG/UYU,PYG/UYU - Paraguayan Guarani Uruguayan Peso,PYG,Paraguayan Guarani,UYU,Uruguayan Peso
UYU/PYG,UYU/PYG - Uruguayan Peso Paraguayan Guarani,UYU,Uruguayan Peso,PYG,Paraguayan Guarani
VES/PYG,VES/PYG - Venezuelan Bolivar Paraguayan Guarani,VES,Venezuelan Bolivar,PYG,Paraguayan Guarani
PYG/VES,PYG/VES - Paraguayan Guarani Venezuelan Bolivar,PYG,Paraguayan Guarani,VES,Venezuelan Bolivar
PYG/USD,PYG/USD - Paraguayan Guarani US Dollar,PYG,Paraguayan Guarani,USD,US Dollar
USD/QAR,USD/QAR - US Dollar Qatari Riyal,USD,US Dollar,QAR,Qatari Riyal
RUB/QAR,RUB/QAR - Russian Ruble Qatari Riyal,RUB,Russian Ruble,QAR,Qatari Riyal
SAR/QAR,SAR/QAR - Saudi Riyal Qatari Riyal,SAR,Saudi Riyal,QAR,Qatari Riyal
SEK/QAR,SEK/QAR - Swedish Krona Qatari Riyal,SEK,Swedish Krona,QAR,Qatari Riyal
SGD/QAR,SGD/QAR - Singapore Dollar Qatari Riyal,SGD,Singapore Dollar,QAR,Qatari Riyal
THB/QAR,THB/QAR - Thai Baht Qatari Riyal,THB,Thai Baht,QAR,Qatari Riyal
TRY/QAR,TRY/QAR - Turkish Lira Qatari Riyal,TRY,Turkish Lira,QAR,Qatari Riyal
TWD/QAR,TWD/QAR - Taiwan Dollar Qatari Riyal,TWD,Taiwan Dollar,QAR,Qatari Riyal
VES/QAR,VES/QAR - Venezuelan Bolivar Qatari Riyal,VES,Venezuelan Bolivar,QAR,Qatari Riyal
ZAR/QAR,ZAR/QAR - South African Rand Qatari Riyal,ZAR,South African Rand,QAR,Qatari Riyal
USD/RON,USD/RON - US Dollar Romanian Leu,USD,US Dollar,RON,Romanian Leu
RON/RUB,RON/RUB - Romanian Leu Russian Ruble,RON,Romanian Leu,RUB,Russian Ruble
SAR/RON,SAR/RON - Saudi Riyal Romanian Leu,SAR,Saudi Riyal,RON,Romanian Leu
SEK/RON,SEK/RON - Swedish Krona Romanian Leu,SEK,Swedish Krona,RON,Romanian Leu
SGD/RON,SGD/RON - Singapore Dollar Romanian Leu,SGD,Singapore Dollar,RON,Romanian Leu
TRY/RON,TRY/RON - Turkish Lira Romanian Leu,TRY,Turkish Lira,RON,Romanian Leu
TWD/RON,TWD/RON - Taiwan Dollar Romanian Leu,TWD,Taiwan Dollar,RON,Romanian Leu
VES/RON,VES/RON - Venezuelan Bolivar Romanian Leu,VES,Venezuelan Bolivar,RON,Romanian Leu
ZAR/RON,ZAR/RON - South African Rand Romanian Leu,ZAR,South African Rand,RON,Romanian Leu
RON/RUB,RON/RUB - Romanian Leu Russian Ruble,RON,Romanian Leu,RUB,Russian Ruble
USD/RSD,USD/RSD - US Dollar Serbian Dinar,USD,US Dollar,RSD,Serbian Dinar
USD/RUB,USD/RUB - US Dollar Russian Ruble,USD,US Dollar,RUB,Russian Ruble
RUB/SAR,RUB/SAR - Russian Ruble Saudi Riyal,RUB,Russian Ruble,SAR,Saudi Riyal
RUB/SEK,RUB/SEK - Russian Ruble Swedish Krona,RUB,Russian Ruble,SEK,Swedish Krona
RUB/THB,RUB/THB - Russian Ruble Thai Baht,RUB,Russian Ruble,THB,Thai Baht
RUB/TRY,RUB/TRY - Russian Ruble Turkish Lira,RUB,Russian Ruble,TRY,Turkish Lira
RUB/TWD,RUB/TWD - Russian Ruble Taiwan Dollar,RUB,Russian Ruble,TWD,Taiwan Dollar
RUB/USD,RUB/USD - Russian Ruble US Dollar,RUB,Russian Ruble,USD,US Dollar
RUB/VES,RUB/VES - Russian Ruble Venezuelan Bolivar,RUB,Russian Ruble,VES,Venezuelan Bolivar
RUB/XAF,RUB/XAF - Russian Ruble Central African Franc,RUB,Russian Ruble,XAF,Central African Franc
RUB/XOF,RUB/XOF - Russian Ruble West African CFA franc,RUB,Russian Ruble,XOF,West African CFA franc
RUB/ZAR,RUB/ZAR - Russian Ruble South African Rand,RUB,Russian Ruble,ZAR,South African Rand
SAR/RUB,SAR/RUB - Saudi Riyal Russian Ruble,SAR,Saudi Riyal,RUB,Russian Ruble
SEK/RUB,SEK/RUB - Swedish Krona Russian Ruble,SEK,Swedish Krona,RUB,Russian Ruble
SGD/RUB,SGD/RUB - Singapore Dollar Russian Ruble,SGD,Singapore Dollar,RUB,Russian Ruble
THB/RUB,THB/RUB - Thai Baht Russian Ruble,THB,Thai Baht,RUB,Russian Ruble
TRY/RUB,TRY/RUB - Turkish Lira Russian Ruble,TRY,Turkish Lira,RUB,Russian Ruble
TWD/RUB,TWD/RUB - Taiwan Dollar Russian Ruble,TWD,Taiwan Dollar,RUB,Russian Ruble
VES/RUB,VES/RUB - Venezuelan Bolivar Russian Ruble,VES,Venezuelan Bolivar,RUB,Russian Ruble
ZAR/RUB,ZAR/RUB - South African Rand Russian Ruble,ZAR,South African Rand,RUB,Russian Ruble
RUB/UAH,RUB/UAH - Russian Ruble Ukrainian Hryvnia,RUB,Russian Ruble,UAH,Ukrainian Hryvnia
UAH/RUB,UAH/RUB - Ukrainian Hryvnia Russian Ruble,UAH,Ukrainian Hryvnia,RUB,Russian Ruble
USD/RUB,USD/RUB - US Dollar Russian Ruble,USD,US Dollar,RUB,Russian Ruble
RUB/VND,RUB/VND - Russian Ruble Vietnamese Dong,RUB,Russian Ruble,VND,Vietnamese Dong
TMT/RUB,TMT/RUB - Turkmenistan manat Russian Ruble,TMT,Turkmenistan manat,RUB,Russian Ruble
SDR/RUB,SDR/RUB - Special Drawing Rights Russian Ruble,SDR,Special Drawing...,RUB,Russian Ruble
TJS/RUB,TJS/RUB - Tajikistani somoni Russian Ruble,TJS,Tajikistani somoni,RUB,Russian Ruble
UZS/RUB,UZS/RUB - Uzbekistani Sum Russian Ruble,UZS,Uzbekistani Sum,RUB,Russian Ruble
SEK/RUB,SEK/RUB - Swedish Krona Russian Ruble,SEK,Swedish Krona,RUB,Russian Ruble
SGD/RUB,SGD/RUB - Singapore Dollar Russian Ruble,SGD,Singapore Dollar,RUB,Russian Ruble
TJS/RUB,TJS/RUB - Tajikistani somoni Russian Ruble,TJS,Tajikistani somoni,RUB,Russian Ruble
TMT/RUB,TMT/RUB - Turkmenistan manat Russian Ruble,TMT,Turkmenistan manat,RUB,Russian Ruble
TRY/RUB,TRY/RUB - Turkish Lira Russian Ruble,TRY,Turkish Lira,RUB,Russian Ruble
UAH/RUB,UAH/RUB - Ukrainian Hryvnia Russian Ruble,UAH,Ukrainian Hryvnia,RUB,Russian Ruble
USD/RUB,USD/RUB - US Dollar Russian Ruble,USD,US Dollar,RUB,Russian Ruble
UZS/RUB,UZS/RUB - Uzbekistani Sum Russian Ruble,UZS,Uzbekistani Sum,RUB,Russian Ruble
SDR/RUB,SDR/RUB - Special Drawing Rights Russian Ruble,SDR,Special Drawing...,RUB,Russian Ruble
ZAR/RUB,ZAR/RUB - South African Rand Russian Ruble,ZAR,South African Rand,RUB,Russian Ruble
USD/RUB,USD/RUB - US Dollar Russian Ruble,USD,US Dollar,RUB,Russian Ruble
USD/RWF,USD/RWF - US Dollar Rwandan Franc,USD,US Dollar,RWF,Rwandan Franc
USD/SAR,USD/SAR - US Dollar Saudi Riyal,USD,US Dollar,SAR,Saudi Riyal
SAR/SEK,SAR/SEK - Saudi Riyal Swedish Krona,SAR,Saudi Riyal,SEK,Swedish Krona
SAR/SGD,SAR/SGD - Saudi Riyal Singapore Dollar,SAR,Saudi Riyal,SGD,Singapore Dollar
SAR/THB,SAR/THB - Saudi Riyal Thai Baht,SAR,Saudi Riyal,THB,Thai Baht
SAR/TRY,SAR/TRY - Saudi Riyal Turkish Lira,SAR,Saudi Riyal,TRY,Turkish Lira
SAR/TWD,SAR/TWD - Saudi Riyal Taiwan Dollar,SAR,Saudi Riyal,TWD,Taiwan Dollar
SAR/USD,SAR/USD - Saudi Riyal US Dollar,SAR,Saudi Riyal,USD,US Dollar
SAR/VES,SAR/VES - Saudi Riyal Venezuelan Bolivar,SAR,Saudi Riyal,VES,Venezuelan Bolivar
SAR/XAF,SAR/XAF - Saudi Riyal Central African Franc,SAR,Saudi Riyal,XAF,Central African Franc
SAR/XCD,SAR/XCD - Saudi Riyal East Caribbean Dollar,SAR,Saudi Riyal,XCD,East Caribbean Dollar
SAR/XOF,SAR/XOF - Saudi Riyal West African CFA franc,SAR,Saudi Riyal,XOF,West African CFA franc
SAR/ZAR,SAR/ZAR - Saudi Riyal South African Rand,SAR,Saudi Riyal,ZAR,South African Rand
SEK/SAR,SEK/SAR - Swedish Krona Saudi Riyal,SEK,Swedish Krona,SAR,Saudi Riyal
SGD/SAR,SGD/SAR - Singapore Dollar Saudi Riyal,SGD,Singapore Dollar,SAR,Saudi Riyal
THB/SAR,THB/SAR - Thai Baht Saudi Riyal,THB,Thai Baht,SAR,Saudi Riyal
TRY/SAR,TRY/SAR - Turkish Lira Saudi Riyal,TRY,Turkish Lira,SAR,Saudi Riyal
TWD/SAR,TWD/SAR - Taiwan Dollar Saudi Riyal,TWD,Taiwan Dollar,SAR,Saudi Riyal
VES/SAR,VES/SAR - Venezuelan Bolivar Saudi Riyal,VES,Venezuelan Bolivar,SAR,Saudi Riyal
ZAR/SAR,ZAR/SAR - South African Rand Saudi Riyal,ZAR,South African Rand,SAR,Saudi Riyal
USD/SCR,USD/SCR - US Dollar Seychelles Rupee,USD,US Dollar,SCR,Seychelles Rupee
USD/SDG,USD/SDG - US Dollar Sudanese Pound,USD,US Dollar,SDG,Sudanese Pound
USD/SEK,USD/SEK - US Dollar Swedish Krona,USD,US Dollar,SEK,Swedish Krona
SEK/SGD,SEK/SGD - Swedish Krona Singapore Dollar,SEK,Swedish Krona,SGD,Singapore Dollar
SEK/THB,SEK/THB - Swedish Krona Thai Baht,SEK,Swedish Krona,THB,Thai Baht
SEK/TRY,SEK/TRY - Swedish Krona Turkish Lira,SEK,Swedish Krona,TRY,Turkish Lira
SEK/TWD,SEK/TWD - Swedish Krona Taiwan Dollar,SEK,Swedish Krona,TWD,Taiwan Dollar
SEK/USD,SEK/USD - Swedish Krona US Dollar,SEK,Swedish Krona,USD,US Dollar
SEK/VES,SEK/VES - Swedish Krona Venezuelan Bolivar,SEK,Swedish Krona,VES,Venezuelan Bolivar
SEK/XAF,SEK/XAF - Swedish Krona Central African Franc,SEK,Swedish Krona,XAF,Central African Franc
SEK/XCD,SEK/XCD - Swedish Krona East Caribbean Dollar,SEK,Swedish Krona,XCD,East Caribbean Dollar
SEK/XOF,SEK/XOF - Swedish Krona West African CFA franc,SEK,Swedish Krona,XOF,West African CFA franc
SEK/ZAR,SEK/ZAR - Swedish Krona South African Rand,SEK,Swedish Krona,ZAR,South African Rand
SGD/SEK,SGD/SEK - Singapore Dollar Swedish Krona,SGD,Singapore Dollar,SEK,Swedish Krona
THB/SEK,THB/SEK - Thai Baht Swedish Krona,THB,Thai Baht,SEK,Swedish Krona
TRY/SEK,TRY/SEK - Turkish Lira Swedish Krona,TRY,Turkish Lira,SEK,Swedish Krona
TWD/SEK,TWD/SEK - Taiwan Dollar Swedish Krona,TWD,Taiwan Dollar,SEK,Swedish Krona
VES/SEK,VES/SEK - Venezuelan Bolivar Swedish Krona,VES,Venezuelan Bolivar,SEK,Swedish Krona
ZAR/SEK,ZAR/SEK - South African Rand Swedish Krona,ZAR,South African Rand,SEK,Swedish Krona
USD/SGD,USD/SGD - US Dollar Singapore Dollar,USD,US Dollar,SGD,Singapore Dollar
SGD/THB,SGD/THB - Singapore Dollar Thai Baht,SGD,Singapore Dollar,THB,Thai Baht
SGD/TWD,SGD/TWD - Singapore Dollar Taiwan Dollar,SGD,Singapore Dollar,TWD,Taiwan Dollar
SGD/USD,SGD/USD - Singapore Dollar US Dollar,SGD,Singapore Dollar,USD,US Dollar
SGD/ZAR,SGD/ZAR - Singapore Dollar South African Rand,SGD,Singapore Dollar,ZAR,South African Rand
SGD/TRY,SGD/TRY - Singapore Dollar Turkish Lira,SGD,Singapore Dollar,TRY,Turkish Lira
SGD/VES,SGD/VES - Singapore Dollar Venezuelan Bolivar,SGD,Singapore Dollar,VES,Venezuelan Bolivar
